"REGION","COUNTRY","LIFEEXP","ILLITERATE","POP","FERTILITY","PRIVATEHEALTH","PUBLICEDUCATION","HEALTHEXPEND","BIRTHATTEND","PHYSICIAN","SMOKING","RESEARCHERS","GDP","FEMALEBOSS","lnHEALTH"
5,"Cyprus",79,3.2,0.8,1.6,3.2,6.3,1128,100,234,32,630,15.4,15,1.16315080980568
7,"Czech<a0>Republic",75.9,1,10.2,1.2,0.8,4.4,1412,100,351,31,1594,124.4,30,-0.22314355131421
8,"Denmark",77.9,1,5.4,1.8,1.5,8.5,2780,100,293,31,5016,258.7,25,0.405465108108164
1,"Djibouti",53.9,10.1,0.8,4.5,1.9,7.9,87,61,18,32,848,0.7,30,0.641853886172395
3,"Dominica",75.6,12,0.1,2.7,1.7,5,309,100,50,32,848,0.3,48,0.53062825106217
3,"Dominican<a0>Republic",71.5,13,9.5,3,4.1,1.8,377,99,188,16,848,29.5,32,1.41098697371026
3,"Ecuador",74.7,9,13.1,2.8,3.3,1,261,75,148,32,50,36.5,35,1.19392246847243
1,"Egypt",70.7,28.6,72.8,3.2,3.7,4.6,258,74,54,40,493,89.4,9,1.30833281965018
3,"El<a0>Salvador",71.3,19.4,6.7,2.9,4.4,2.8,375,92,124,42,47,17,33,1.48160454092422
6,"Equatorial<a0>Guinea",50.4,13,0.5,5.6,0.4,0.6,223,65,30,32,848,3.2,30,-0.916290731874155
6,"Eritrea",56.6,10.1,4.5,5.5,2.7,5.4,27,28,5,32,848,1,30,0.993251773010283
7,"Estonia",71.2,0.2,1.3,1.4,1.3,5.3,752,100,448,45,2523,13.1,37,0.262364264467491
5,"Ethiopia",51.8,64.1,79,5.8,2.6,6.1,21,6,3,6,848,11.2,20,0.955511445027436
2,"Fiji",68.3,10.1,0.8,3,1.7,6.4,284,99,34,26,848,2.7,30,0.53062825106217
8,"Finland",78.9,1,5.2,1.8,1.7,6.5,2203,100,316,26,7832,193.2,30,0.53062825106217
8,"France",80.2,1,61,1.9,2.3,5.9,3040,99,337,30,3213,2126.6,37,0.832909122935104
6,"Gabon",56.2,16,1.3,3.4,1.4,3.9,264,86,29,32,848,8.1,30,0.336472236621213
6,"Gambia",58.8,10.1,1.6,5.2,5,2,88,55,11,32,848,0.5,30,1.6094379124341
7,"Georgia",70.7,1,4.5,1.5,3.8,2.9,171,92,409,53,848,6.4,26,1.33500106673234
8,"Germany",79.1,1,82.7,1.3,2.4,4.6,3171,100,337,37,3261,2794.9,37,0.8754687373539
6,"Ghana",59.1,42.1,22.5,4.4,3.9,5.4,95,47,15,7,848,10.7,30,1.3609765531356
8,"Greece",78.9,4,11.1,1.3,3.7,4.3,2179,92,438,47,1413,225.2,26,1.30833281965018
3,"Grenada",68.2,4,0.1,2.4,1.9,5.2,480,100,50,32,848,0.5,30,0.641853886172395
3,"Guatemala",69.7,30.9,12.7,4.6,3.4,4.6,256,41,90,21,848,31.7,30,1.22377543162212
6,"Guinea",54.8,70.5,9,5.8,4.6,2,96,56,11,32,848,3.3,30,1.52605630349505
6,"Guinea-Bissau",45.8,10.1,1.6,7.1,3.5,5.2,28,35,12,32,848,0.3,30,1.25276296849537
3,"Guyana",65.2,10.1,0.7,2.4,0.9,8.5,329,86,48,32,848,0.8,30,-0.105360515657826
3,"Haiti",59.5,10.1,9.3,4,4.7,4.6,82,24,25,15,848,4.3,30,1.54756250871601
3,"Honduras",69.4,20,6.8,3.7,3.2,4.6,197,56,57,32,848,8.3,41,1.16315080980568
2,"Hong<a0>Kong<a0>China<a0>(SAR)",81.9,10.1,7.1,0.9,2.4,4.2,297.5,92,107.5,22,1564,177.7,27,0.8754687373539
7,"Hungary",72.9,1,10.1,1.3,2.2,5.5,1308,100,333,41,1472,109.2,35,0.78845736036427
8,"Iceland",81.5,1,0.3,2,1.6,8.1,3294,92,362,25,6807,15.8,27,0.470003629245736
4,"India",63.7,39,1134.4,3.1,4.1,3.8,91,43,60,47,119,805.7,30,1.41098697371026
2,"Indonesia",69.7,9.6,226.1,2.4,1.8,0.9,118,72,13,58,207,287.2,30,0.587786664902119
4,"Iran<a0>(Islamic<a0>Republic<a0>of)",70.2,17.6,69.4,2.1,3.4,4.7,604,90,87,22,1279,189.8,16,1.22377543162212
1,"Iraq",57.7,25.9,28,4.9,1.1,4.6,135,72,66,32,848,12.6,30,0.0953101798043249
8,"Ireland",78.4,1,4.1,2,1.5,4.8,2618,100,279,28,2674,201.8,31,0.405465108108164
1,"Israel",80.3,2.9,6.7,2.9,2.6,6.9,1972,99,382,32,848,123.4,26,0.955511445027436
8,"Italy",80.3,1.6,58.6,1.3,2.2,4.7,2414,92,420,31,1213,1762.5,32,0.78845736036427
3,"Jamaica",72.2,20.1,2.7,2.6,2.4,5.3,223,97,85,32,848,9.6,30,0.8754687373539
8,"Japan",82.3,1,127.9,1.3,1.5,3.6,2293,100,198,47,5287,4534,10,0.405465108108164
1,"Jordan",71.9,8.9,5.5,3.5,5.1,4.9,502,100,203,51,1927,12.7,30,1.62924053973028
7,"Kazakhstan",65.9,1,15.2,2,1.5,2.3,264,99,354,65,629,57.1,38,0.405465108108164
6,"Kenya",52.1,26.4,35.6,5,2.3,6.7,86,42,14,21,848,18.7,30,0.832909122935104
2,"Korea<a0>(Democratic<a0>People's<a0>Rep.<a0>of)",66.8,2,23.6,1.9,0.5,4.6,47,97,329,32,848,14.2,30,-0.693147180559945
2,"Korea<a0>(Republic<a0>of)",77.9,1,47.9,1.2,2.7,4.6,1135,100,157,32,3187,787.6,8,0.993251773010283
1,"Kuwait",77.3,6.7,2.7,2.3,0.6,5.1,538,98,153,32,848,80.8,30,-0.510825623765991
7,"Kyrgyzstan",65.6,1.3,5.2,2.5,3.3,4.4,102,98,251,51,848,2.4,25,1.19392246847243
2,"Lao<a0>People's<a0>Democratic<a0>Republic",63.2,31.3,5.7,3.6,3.1,2.3,74,19,107.5,59,848,2.9,30,1.1314021114911
7,"Latvia",72,1,2.3,1.2,3.1,5.3,852,100,301,51,1434,15.8,42,1.1314021114911
1,"Lebanon",71.5,10.1,4,2.3,8.4,2.6,817,89,325,42,848,21.9,30,2.12823170584927
6,"Lesotho",42.6,17.8,2,3.8,1,13.4,139,55,5,32,848,1.5,30,0
6,"Liberia",44.7,48.1,3.4,6.8,2,4.6,22,51,3,32,848,0.5,30,0.693147180559945
1,"Libyan<a0>Arab<a0>Jamahiriya",73.4,15.8,5.9,3,1,2.7,328,94,129,32,361,38.8,30,0
7,"Lithuania",72.5,1,3.4,1.3,1.6,5.2,843,100,397,44,2136,25.6,43,0.470003629245736
8,"Luxembourg",78.4,1,0.5,1.7,0.8,3.6,5178,100,266,39,4301,36.5,30,-0.22314355131421
7,"Macedonia<a0>(TFYR)",73.8,3.9,2,1.6,2.3,3.5,471,99,219,32,504,5.8,29,0.832909122935104
6,"Madagascar",58.4,29.3,18.6,5.3,1.2,3.2,29,51,29,32,15,5,30,0.182321556793955
6,"Malawi",46.3,35.9,13.2,6,3.3,5.8,58,56,2,21,848,2.1,30,1.19392246847243
2,"Malaysia",73.7,11.3,25.7,2.9,1.6,6.2,402,97,70,43,299,130.3,23,0.470003629245736
4,"Maldives",67,3.7,0.3,2.8,1.4,7.1,494,70,92,37,848,0.8,15,0.336472236621213
6,"Mali",53.1,76,11.6,6.7,3.4,4.3,54,41,8,32,848,5.3,30,1.22377543162212
7,"Malta",79.1,12.1,0.4,1.5,2.2,4.5,1733,98,318,30,681,5.6,20,0.78845736036427
6,"Mauritania",63.2,48.8,3,4.8,0.9,2.3,43,57,11,32,848,1.9,30,-0.105360515657826
6,"Mauritius",72.4,15.7,1.2,1.9,1.9,4.5,516,98,106,32,360,6.3,25,0.641853886172395
3,"Mexico",75.6,8.4,104.3,2.4,3.5,5.4,655,83,198,13,268,768.4,29,1.25276296849537
2,"Micronesia<a0>(Federated<a0>States<a0>of)",68,33,0.1,4.2,1.1,7.3,292,88,60,32,848,0.2,30,0.0953101798043249
7,"Moldova",68.4,1,3.9,1.5,3.2,4.3,138,100,264,34,848,2.9,39,1.16315080980568
2,"Mongolia",65.9,2.2,2.6,2.1,2,5.3,141,97,263,68,848,1.9,50,0.693147180559945
7,"Montenegro",74.1,3.6,0.6,1.8,2.8,3.3,297.5,92,206,48,1598,14.2,30,1.02961941718116
1,"Morocco",70.4,47.7,30.5,2.5,3.4,6.7,234,63,51,29,848,51.6,12,1.22377543162212
6,"Mozambique",42.8,61.3,20.5,5.5,1.3,3.7,42,48,3,32,848,6.6,30,0.262364264467491
2,"Myanmar",60.8,10.1,48,2.2,1.9,1.3,38,57,36,36,17,14.2,30,0.641853886172395
6,"Namibia",51.6,15,2,3.6,2.1,6.9,407,76,30,23,848,6.1,30,0.741937344729377
4,"Nepal",62.6,51.4,27.1,3.7,4.1,3.4,71,11,21,49,59,7.4,8,1.41098697371026
8,"Netherlands",79.2,1,16.3,1.7,3.5,5.4,3092,100,315,36,2482,624.2,26,1.25276296849537
8,"New<a0>Zealand",79.8,1,4.1,2,1.9,6.5,2081,100,237,24,3945,109.3,36,0.641853886172395
3,"Nicaragua",71.9,23.3,5.5,3,4.3,3.1,231,67,37,32,73,4.9,30,1.45861502269952
6,"Niger",55.8,71.3,13.3,7.4,2,2.3,26,16,2,32,848,3.4,30,0.693147180559945
6,"Nigeria",46.5,30.9,141.4,5.8,3.2,4.6,53,35,28,32,848,99,30,1.16315080980568
8,"Norway",79.8,1,4.6,1.8,1.6,7.7,4080,100,313,27,4587,295.5,30,0.470003629245736
1,"Occupied<a0>Palestinian<a0>Territories",72.9,7.6,3.8,5.6,5.2,4.6,297.5,97,107.5,32,848,4,11,1.64865862558738
1,"Oman",75,18.6,2.5,3.7,0.6,3.6,419,95,132,32,848,24.3,9,-0.510825623765991
4,"Pakistan",64.6,50.1,158.1,4,1.8,2.3,48,31,74,32,75,110.7,2,0.587786664902119
3,"Panama",75.1,8.1,3.2,2.7,2.5,3.8,632,93,150,32,97,15.5,43,0.916290731874155
2,"Papua<a0>New<a0>Guinea",56.9,42.7,6.1,4.3,0.6,4.6,147,41,5,32,848,4.9,30,-0.510825623765991
3,"Paraguay",71.3,6.5,5.9,3.5,5.1,4.3,327,77,111,23,79,7.3,23,1.62924053973028
3,"Peru",70.7,12.1,27.3,2.7,2.2,2.4,235,73,117,32,226,79.4,34,0.78845736036427
2,"Philippines",71,7.4,84.6,3.5,2,2.7,203,60,58,41,48,99,58,0.693147180559945
7,"Poland",75.2,1,38.2,1.3,1.9,5.4,814,100,247,40,1581,303.2,33,0.641853886172395
8,"Portugal",77.7,6.2,10.5,1.5,2.8,5.7,1897,100,342,32,1949,183.3,34,1.02961941718116
1,"Qatar",75,11,0.8,2.9,0.6,1.6,688,99,222,32,848,42.5,8,-0.510825623765991
7,"Romania",71.9,2.7,21.6,1.3,1.7,3.4,433,99,190,32,976,98.6,29,0.53062825106217
7,"Russian<a0>Federation",65,1,144,1.3,2.3,3.6,583,99,425,60,3319,763.7,39,0.832909122935104
6,"Rwanda",45.2,35.1,9.2,6,3.2,3.8,126,39,5,32,848,2.2,30,1.16315080980568
3,"Saint<a0>Kitts<a0>and<a0>Nevis",70,2.2,7.8,2.7,1.9,9.3,710,100,119,32,848,0.5,30,0.641853886172395
3,"Saint<a0>Lucia",73.1,5.2,0.2,2.2,1.8,5.8,302,99,517,32,848,0.8,55,0.587786664902119
3,"Saint<a0>Vincent<a0>and<a0>the<a0>Grenadines",71.1,11.9,0.1,2.3,2.2,8.2,418,100,87,32,848,0.4,30,0.78845736036427
2,"Samoa",70.8,1.4,0.2,4.4,1.2,4.5,218,100,70,32,848,0.4,30,0.182321556793955
6,"Sao<a0>Tome<a0>and<a0>Principe",64.9,15.1,0.2,4.3,1.6,4.6,141,76,49,32,848,0.1,30,0.470003629245736
1,"Saudi<a0>Arabia",72.2,17.1,23.6,3.8,0.8,6.8,601,91,137,19,848,309.8,31,-0.22314355131421
6,"Senegal",62.3,60.7,11.8,5.2,3.5,5.4,72,58,6,32,848,8.2,30,1.25276296849537
7,"Serbia",73.6,3.6,9.9,1.7,2.8,3.3,297.5,92,206,48,1598,14.2,30,1.02961941718116
6,"Seychelles",72.7,8.2,0.1,2.7,1.5,5.4,634,92,151,32,19,0.7,30,0.405465108108164
6,"Sierra<a0>Leone",41.8,65.2,5.6,6.5,1.4,4.6,34,42,3,32,848,1.2,30,0.336472236621213
2,"Singapore",79.4,7.5,4.3,1.4,2.4,3.7,1118,100,140,24,4999,116.8,26,0.8754687373539
7,"Slovakia",74.2,1,5.4,1.2,1.9,4.3,1061,99,318,32,1984,46.4,31,0.641853886172395
7,"Slovenia",77.4,1,2,1.2,2.1,6,1815,100,225,28,2543,34.4,33,0.741937344729377
2,"Solomon<a0>Islands",63,23.4,0.5,4.4,0.3,3.3,114,85,13,32,848,0.3,30,-1.20397280432594
1,"Somalia",47.1,10.1,8.2,6.4,1.4,4.6,297.5,25,4,32,848,14.2,30,0.336472236621213
6,"South<a0>Africa",50.8,17.6,47.9,2.8,5.1,5.4,748,92,77,23,307,239.5,30,1.62924053973028
8,"Spain",80.5,1,43.4,1.3,2.4,4.3,2099,92,330,39,2195,1124.6,32,0.8754687373539
4,"Sri<a0>Lanka",71.6,9.3,19.1,2,2.3,4.6,163,96,55,23,128,23.5,21,0.832909122935104
1,"Sudan",57.4,39.1,36.9,4.8,2.6,4.6,54,87,22,32,848,27.5,30,0.955511445027436
3,"Suriname",69.6,10.4,0.5,2.6,4.2,4.6,376,85,45,32,848,1.3,30,1.43508452528932
6,"Swaziland",40.9,20.4,1.1,3.9,2.3,6.2,367,74,16,11,848,2.7,30,0.832909122935104
8,"Sweden",80.5,1,9,1.7,1.4,7.4,2828,100,328,17,5416,357.7,30,0.336472236621213
8,"Switzerland",81.3,1,7.4,1.4,4.8,6,4011,92,361,27,3601,367,8,1.56861591791385
1,"Syrian<a0>Arab<a0>Republic",73.6,19.2,18.9,3.5,2.5,4.6,109,77,140,32,29,26.3,30,0.916290731874155
7,"Tajikistan",66.3,1,6.6,3.8,3.4,3.5,54,71,203,32,660,2.3,30,1.22377543162212
6,"Tanzania<a0>(United<a0>Republic<a0>of)",51,30.6,38.5,5.7,2.3,2.2,29,43,2,32,848,12.1,49,0.832909122935104
2,"Thailand",69.6,7.4,63,1.8,1.2,4.2,293,99,37,49,287,176.6,29,0.182321556793955
2,"Timor-Leste",59.7,49.9,1.1,7,2.4,4.6,143,18,10,32,848,0.3,30,0.8754687373539
6,"Togo",57.8,46.8,6.2,5.4,4.4,2.6,63,61,4,32,102,2.2,30,1.48160454092422
2,"Tonga",72.8,1.1,0.1,3.7,1.3,4.8,316,95,34,53,45454,0.2,30,0.262364264467491
3,"Trinidad<a0>and<a0>Tobago",69.2,1.6,1.3,1.6,2.1,4.2,523,96,79,32,848,14.4,43,0.741937344729377
1,"Tunisia",73.5,25.7,10.1,2,2.8,7.3,502,90,134,50,1013,28.7,30,1.02961941718116
5,"Turkey",71.4,12.6,73,2.2,2.1,3.7,557,83,135,49,341,362.5,7,0.741937344729377
7,"Turkmenistan",62.6,1.2,4.8,2.8,1.5,4.6,245,97,418,32,848,8.1,30,0.405465108108164
6,"Uganda",49.7,33.2,28.9,6.7,5.1,5.2,135,39,8,25,848,8.7,30,1.62924053973028
7,"Ukraine",67.7,1,46.9,1.2,2.8,6.4,427,100,295,53,848,82.9,38,1.02961941718116
1,"United<a0>Arab<a0>Emirates",78.3,11.3,4.1,2.5,0.9,1.3,503,99,202,17,848,129.7,8,-0.105360515657826
8,"United<a0>Kingdom",79,1,60.2,1.7,1.1,5.4,2560,99,230,27,2706,2198.8,34,0.0953101798043249
8,"United<a0>States",77.9,1,299.8,2,8.5,5.9,6096,99,256,24,4605,12416.5,42,2.14006616349627
3,"Uruguay",75.9,3.2,3.3,2.2,4.6,2.6,784,100,365,35,366,16.8,40,1.52605630349505
7,"Uzbekistan",66.8,1,26.6,2.7,2.7,4.6,160,96,274,24,1754,14,30,0.993251773010283
2,"Vanuatu",69.3,26,0.2,4.2,1,9.6,123,88,11,32,848,14.2,30,0
3,"Venezuela<a0>(Bolivarian<a0>Republic<a0>of)",73.2,7,26.7,2.7,2.7,4.6,285,95,194,32,848,140.2,27,0.993251773010283
2,"Viet<a0>Nam",73.7,9.7,85,2.3,4,4.6,184,85,53,35,115,52.4,22,1.38629436111989
1,"Yemen",61.5,45.9,21.1,6,3.1,9.6,82,27,33,32,848,15.1,4,1.1314021114911
6,"Zambia",40.5,32,11.5,5.6,2.9,2,63,43,12,16,51,7.3,30,1.06471073699243
6,"Zimbabwe",40.9,10.6,13.1,3.6,4,4.6,139,73,16,20,848,3.4,30,1.38629436111989
